atlas,coverage,median_risk,iqr_lo,iqr_hi,n_rows,source_key
Lung atlas,0.6,0.128452870050973,0.0663983903420524,0.21052181573636,40,selective-risk summary
Liver atlas,0.6,0.325,0.1875,0.40125786163522,41,selective-risk summary
Adult-heart atlas,0.6,0.0180722891566265,0.0106124924196482,0.0277968428277282,89,selective-risk summary
Lung atlas,0.7,0.160724554341576,0.098102630444157,0.245706848280852,40,selective-risk summary
Liver atlas,0.7,0.355406538139145,0.211512717536814,0.410729253981559,41,selective-risk summary
Adult-heart atlas,0.7,0.0279295689131754,0.017304189435337,0.0394656952034002,89,selective-risk summary
Lung atlas,0.8,0.197183098591549,0.133538642264754,0.302969731581953,40,selective-risk summary
Liver atlas,0.8,0.385630498533724,0.250585480093677,0.431818181818182,41,selective-risk summary
Adult-heart atlas,0.8,0.0374501992031873,0.027452025586354,0.0599680170575693,89,selective-risk summary
Lung atlas,0.9,0.242397137745975,0.181002682763246,0.36738578680203,40,selective-risk summary
Liver atlas,0.9,0.405475880052151,0.279916753381894,0.442114093959732,41,selective-risk summary
Adult-heart atlas,0.9,0.0620868744098206,0.0478151452756806,0.101746931067044,89,selective-risk summary
